"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1420771_at",-0.0981447368421052,7.9435641025641,-0.909703638142437,0.368480625341348,0.730691004988945,-5.95184291988547
"1452823_at",0.0651157894736836,6.81407692307692,0.909495491620187,0.368589085285164,0.730843499383477,-5.95202736323399
"1418385_at",0.0559973684210523,6.26476923076923,0.909461644249912,0.368606724252155,0.730843499383477,-5.95205735233392
"1458216_at",-0.0718815789473687,7.01676923076923,-0.909384817762162,0.36864676306057,0.730843499383477,-5.95212541738363
"1450081_x_at",0.137626315789474,9.65205128205128,0.909293469165298,0.368694373851624,0.730843499383477,-5.95220634124573
"1436593_at",-0.0609026315789477,6.19782051282051,-0.909289143126556,0.368696628676893,0.730843499383477,-5.95221017340226
"1424286_at",0.130586842105263,8.73523076923077,0.909259226539476,0.368712222095083,0.730843499383477,-5.95223667408418
"1440139_at",-0.0828815789473682,7.3771282051282,-0.909228290404622,0.368728347380024,0.730843499383477,-5.95226407702254
"1455537_at",0.349686842105263,10.0625897435897,0.909040672869113,0.368826151715295,0.730988976091679,-5.9524302477448
"1427552_a_at",-0.112665789473685,7.14653846153846,-0.908986610139715,0.368854337527868,0.73099646338156,-5.95247812439419
"1442845_at",0.0703631578947367,7.78082051282051,0.908887008408813,0.368906268916857,0.731028670246205,-5.95256632214353
"1422451_at",-0.296057894736842,7.90033333333333,-0.908861811557862,0.368919407062044,0.731028670246205,-5.95258863259316
